ISSN,Journal,Subject,JourQual,FT,Cnrs,EJL,ABS,Den,Hceres,Scopus,ABDC,Fnege,Meta,JourQual_n,FT_n,Cnrs_n,EJL_n,ABS_n,Den_n,Hceres_n,Scopus_n,ABDC_n,Fnege_n,Meta_n,princomp1,h_index,citedness,JourQual2,unjournal_tier
0001-3072,Abacus,F&A,B,2,3,P,3,2,A,4.0,A,2,B,4,2,4,2,3,2,1,4,2,3,3,-1.3954703319643933,73,1.8734177215189873,B,3
1941-6520,Academy of Management Annals,Gen & Strat,A,2,2,NA,4*,2,A,24.7,A*,1,A,2,2,3,NA,1,2,1,24.7,1,2,2,-3.9467929758691374,150,14.80952380952381,A,2
2168-1007,Academy of Management Discoveries,Gen & Strat,NA,2,NA,NA,3,1,NA,NA,A,4,NA,NA,2,NA,NA,3,3,NA,NA,2,5,NA,0.5158658235482314,46,4.223880597014926,NA,4
0001-4273,Academy of Management Journal,Gen & Strat,A+,1,1,P*,4*,2,A,14.2,A*,1*,A+,1,1,2,1,1,2,1,14.2,1,1,1,-6.493213434361143,NA,NA,A+,1
1537-260X,Academy of Management Learning and Education,Education,B,2,2,NA,4*,2,A,7.0,A*,1,A,4,2,3,NA,1,2,1,7,1,2,2,-3.2153772538409315,NA,NA,B,2
1558-9080,Academy of Management Perspectives,Gen & Strat,B,2,NA,S,4,2,A,7.7,A,2,A,4,2,NA,4,2,2,1,7.7,2,3,2,-1.3188921789613122,191,7.295774647887324,B,3
0363-7425,Academy of Management Review,Gen & Strat,A+,1,1*,P*,4*,2,A,12.7,A*,1*,A+,1,1,1,1,1,2,1,12.7,1,1,1,-6.890326481877775,507,15.673469387755102,A+,1
1526-1794,Academy of Marketing Science Review,Marketing,B,2,NA,NA,2,1,NA,NA,NA,NA,NA,4,2,NA,NA,4,3,NA,NA,NA,NA,NA,0.510460287484131,NA,NA,B,4
0001-4788,Accounting and Business Research,F&A,B,2,3,S,3,1,B,4.5,A,3,B,4,2,4,4,3,3,2,4.5,2,4,3,0.37802070590525333,108,2.3292682926829267,B,4
0810-5391,Accounting and Finance,F&A,C,2,3,S,2,1,B,3.3,A,3,B,6,2,4,4,4,3,2,3.3,2,4,3,1.3214139471425992,NA,NA,C,4
0963-9284,Accounting Education,Education,C,2,NA,NA,2,1,NA,3.3,A,NA,NA,6,2,NA,NA,4,3,NA,3.3,2,NA,NA,1.753160321738701,NA,NA,C,4
0155-9982,Accounting Forum,F&A,C,2,4,NA,3,1,C,4.6,B,4,NA,6,2,5,NA,3,3,3,4.6,3,5,NA,2.2999513440193478,77,3.05,C,4
0148-4184,Accounting Historians Journal,F&A,C,2,3,NA,2,1,B,1.3,B,4,NA,6,2,4,NA,4,3,2,1.3,3,5,NA,2.2873942515325494,35,0.8636363636363636,C,4
1032-3732,Accounting History,F&A,C,2,3,NA,2,1,B,2.0,A,3,NA,6,2,4,NA,4,3,2,2,2,4,NA,1.3569205199618808,38,1.0526315789473684,C,4
2155-2851,Accounting History Review,Bus Hist,B,2,2,NA,2,1,A,1.5,B,3,NA,4,2,3,NA,4,3,1,1.5,3,4,NA,0.6246543396498669,18,0.6818181818181818,B,4
0888-7993,Accounting Horizons,F&A,B,2,3,S,3,2,A,2.9,A,2,B,4,2,4,4,3,2,1,2.9,2,3,3,-0.5826112339603072,115,1.7763157894736843,B,3
