author,n_seed_dois_cited,n_citing_works,seed_dois
Esther Duflo,4,5,10.1257/aeri.20210612; 10.3386/w28726; 10.3386/w30011; 10.3386/w32728
Julian Jamison,4,5,10.1257/aeri.20210612; 10.2139/ssrn.4154000; 10.3386/w28726; 10.3386/w30011
Berk Özler,4,3,10.2139/ssrn.4154000; 10.3386/w23929; 10.3386/w28726; 10.3386/w30011
Johannes Haushofer,3,10,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Ahmed Mushfiq Mobarak,3,8,10.3386/w23929; 10.3386/w28726; 10.3386/w30011
Dean Karlan,3,7,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w28726
Vikram Patel,3,6,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Abhijit Banerjee,3,5,10.1257/aeri.20210612; 10.3386/w28726; 10.3386/w30011
Asad Islam,3,5,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
David E. Bloom,3,5,10.1257/pandp.20201017; 10.3386/w26775; 10.3386/w30202
David Manheim,3,5,10.1257/pandp.20201017; 10.3386/w23928; 10.48550/arxiv.2305.07153
Gharad Bryan,3,5,10.3386/w23929; 10.3386/w28106; 10.3386/w28726
Kate Orkin,3,5,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Tabassum Rahman,3,5,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Christopher Blattman,3,4,10.1257/aeri.20210612; 10.2139/ssrn.4154000; 10.3386/w30011
Crick Lund,3,4,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Judith Bass,3,4,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Margaret A. Sheridan,3,4,10.1257/aeri.20210612; 10.2139/ssrn.4154000; 10.3386/w30011
Nathan Barker,3,4,10.1257/aeri.20210612; 10.3386/w23929; 10.3386/w28106
Wietse A. Tol,3,4,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Abu Bakkar Siddique,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
David Reinstein,3,3,10.1257/pandp.20201017; 10.3386/w23929; 10.3386/w30740
Frank Schilbach,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
John A. List,3,3,10.3386/w23929; 10.3386/w30740; 10.3386/w32093
John R. Walker,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Laura Murray,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Mahreen Mahmud,3,3,10.1257/aeri.20210612; 10.3386/w28726; 10.3386/w30011
Marc Witte,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Sarah M. Murray,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Thandi Davies,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Francesco Capozza,3,2,10.2139/ssrn.3938994; 10.3386/w28106; 10.3386/w30011
Luca Parisotto,3,2,10.2139/ssrn.4154000; 10.3386/w28726; 10.3386/w30011
Sarah Baird,3,2,10.2139/ssrn.4154000; 10.3386/w23929; 10.3386/w30011
Michael Mulford,3,1,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011
Ugo Gentilini,2,18,10.2139/ssrn.4154000; 10.3386/w28106
David Denkenberger,2,9,10.1016/j.ijdrr.2022.102798; 10.31219/osf.io/vrmpf
Matthew O. Jackson,2,7,10.3386/w23928; 10.3386/w28726
Christopher B. Barrett,2,6,10.1257/aeri.20230431; 10.1257/pandp.20201017
Corey Vernot,2,5,10.3386/w23929; 10.3386/w30011
Joshua M. Pearce,2,5,10.1016/j.ijdrr.2022.102798; 10.31219/osf.io/vrmpf
Nicolas Treich,2,5,10.1080/21606544.2022.2138980; 10.2139/ssrn.3938994
Romain Espinosa,2,5,10.1080/21606544.2022.2138980; 10.2139/ssrn.3938994
Ross Tieman,2,5,10.1016/j.ijdrr.2022.102798; 10.31219/osf.io/vrmpf
Erin Kelley,2,4,10.3386/w23929; 10.3386/w30011
Giovanna D’Adda,2,4,10.2139/ssrn.3938994; 10.3386/w28726
Olivier Sterck,2,4,10.3386/w23929; 10.3386/w28726
Christopher Udry,2,3,10.1257/aeri.20210612; 10.3386/w28106
Dennis Egger,2,3,10.3386/w23929; 10.3386/w30011
Emily Breza,2,3,10.3386/w23929; 10.3386/w28726
Fatima Zahra,2,3,10.3386/w23929; 10.3386/w30011
Gaurav Khanna,2,3,10.3386/w23929; 10.3386/w28106
Gregory Lane,2,3,10.3386/w23929; 10.3386/w30011
Howard White,2,3,10.1257/pandp.20201017; 10.3386/w23929
Jenny C. Aker,2,3,10.3386/w28726; 10.3386/w31208
Jessica Leight,2,3,10.3386/w28106; 10.3386/w28726
Joël Cariolle,2,3,10.3386/w28726; 10.3386/w31208
Liu Yong,2,3,10.3386/w23928; 10.3386/w23929
Maarten Voors,2,3,10.3386/w28106; 10.3386/w30011
Massimo Tavoni,2,3,10.2139/ssrn.3938994; 10.3386/w28726
Patricio Domínguez,2,3,10.3386/w28106; 10.3386/w28726
Reshmaan Hussam,2,3,10.3386/w23929; 10.3386/w30011
Santiago M. Perez‐Vincent,2,3,10.3386/w28106; 10.3386/w28726
Sebastián Chaskel,2,3,10.1257/aeri.20210612; 10.3386/w30011
Thanh Lê,2,3,10.3386/w23928; 10.3386/w31137
Vincent Reina,2,3,10.2139/ssrn.4154000; 10.3386/w28106
Wim Naudé,2,3,10.3386/w23928; 10.3386/w26752
Лілія Нікіфорова,2,3,10.3386/w26752; 10.3386/w31409
Anatoliy A. Shiyan,2,2,10.3386/w26752; 10.3386/w31409
Anonymous Anonymous,2,2,10.3386/w30624; 10.3386/w30740
Anton Korinek,2,2,10.3386/w23928; 10.48550/arxiv.2305.07153
Bei Liu,2,2,10.1257/aer.20221215; 10.3386/w23928
Caroline Flammer,2,2,10.1287/mnsc.2023.4846; 10.3386/w31137
Christopher M. Snyder,2,2,10.1257/pandp.20201017; 10.3386/w26775
Daniel Salicath,2,2,10.1257/aeri.20210612; 10.3386/w30011
Dayong Zhang,2,2,10.1257/aer.20221215; 10.3386/w31137
Dimitrios Gouglas,2,2,10.1257/pandp.20201017; 10.3386/w26775
Elisa M. Maffioli,2,2,10.3386/w28726; 10.3386/w30835
Erin Grela,2,2,10.1257/aeri.20210612; 10.3386/w30011
Felix Stein,2,2,10.1257/pandp.20201017; 10.3386/w26775
Francisco Gallego,2,2,10.3386/w28106; 10.3386/w31208
Frederico Finan,2,2,10.3386/w28726; 10.3386/w32728
Garima Sharma,2,2,10.1257/aeri.20210612; 10.3386/w30011
Girija Vaidyanathan,2,2,10.1257/aeri.20210612; 10.3386/w30011
Hitoshi Shigeoka,2,2,10.1257/aeri.20210612; 10.3386/w31554
Jules Gazeaud,2,2,10.3386/w23929; 10.3386/w30835
Kelsey Wright,2,2,10.1257/aeri.20210612; 10.3386/w28106
Kendall Hoyt,2,2,10.1257/pandp.20201017; 10.3386/w26775
Klaus Prettner,2,2,10.1257/pandp.20201017; 10.3386/w26775
Luke Kemp,2,2,10.1016/j.cognition.2021.104941; 10.1016/j.ijdrr.2022.102798
Madeline McKelway,2,2,10.1257/aeri.20210612; 10.3386/w30011
Marcella Alsan,2,2,10.1093/ej/uead102; 10.3386/w28726
Mark J. D. Jordans,2,2,10.1257/aeri.20210612; 10.3386/w30011
Maryam Kouchaki,2,2,10.1016/j.cognition.2021.104941; 10.3386/w28106
Matthew J. Kotchen,2,2,10.3386/w26775; 10.3386/w32728
Matthias Kalkuhl,2,2,10.3386/w23928; 10.3386/w32450
Matthias Rodemeier,2,2,10.3386/w30740; 10.3386/w31137
Maulik Jagnani,2,2,10.1257/aeri.20230431; 10.3386/w23929
Michael Kremer,2,2,10.1257/pandp.20201017; 10.3386/w26775
